cpf_cliente,data_hora_solicitacao,limite_atual,novo_limite_solicitado,status_pedido
123.456.789-00,2026-05-15T15:47:42.902522,5000.0,8000.0,aprovado
123.456.789-00,2026-05-15T15:48:13.335181,5000.0,8000.0,aprovado
987.654.321-00,2026-05-15T15:48:30.864081,10000.0,50000.0,rejeitado
123.456.789-00,2026-05-15T16:04:27.779574,5000.0,8000.0,aprovado
123.456.789-00,2026-05-15T16:15:51.496591,5000.0,25000.0,rejeitado
123.456.789-00,2026-05-15T16:28:06.394655,5000.0,25000.0,rejeitado
123.456.789-00,2026-05-15T16:45:19.741886,5000.0,8000.0,aprovado
123.456.789-00,2026-05-15T16:45:36.788196,5000.0,25000.0,rejeitado
123.456.789-00,2026-05-15T16:59:22.860087,5000.0,25000.0,rejeitado
123.456.789-00,2026-05-15T17:01:43.935353,5000.0,25000.0,rejeitado
123.456.789-00,2026-05-15T17:23:58.090741,5000.0,25000.0,rejeitado
111.222.333-44,2026-05-15T17:32:15.213360,3000.0,5000.0,rejeitado
111.222.333-44,2026-05-15T17:37:38.733668,3000.0,5000.0,aprovado
111.222.333-44,2026-05-15T17:48:52.277627,3000.0,5000.0,aprovado
111.222.333-44,2026-05-15T18:03:56.961137,3000.0,5000.0,rejeitado
123.456.789-00,2026-05-16T17:11:55.699523,5000.0,8000.0,aprovado
123.456.789-00,2026-05-16T17:36:43.523745,5000.0,8000.0,aprovado
987.654.321-00,2026-05-16T18:44:09.142672,1000.0,25000.0,rejeitado
987.654.321-00,2026-05-16T18:47:50.520058,1000.0,25000.0,aprovado
123.456.789-00,2026-05-16T23:45:58.992762,5000.0,8000.0,aprovado
023.770.814-01,2026-05-17T07:17:26.247980,5000.0,30000.0,rejeitado
023.770.814-01,2026-05-17T07:23:05.096659,5000.0,35000.0,rejeitado
023.770.814-01,2026-05-17T07:24:07.838397,5000.0,15000.0,aprovado
023.770.814-01,2026-05-17T07:26:09.112029,15000.0,5000.0,aprovado
023.770.814-01,2026-05-17T07:29:27.753114,5000.0,15000.0,aprovado
023.770.814-01,2026-05-17T07:29:45.361698,15000.0,35000.0,rejeitado
023.770.814-01,2026-05-17T07:37:06.512832,5000.0,35000.0,rejeitado
023.770.814-01,2026-05-17T07:46:21.893651,5000.0,35000.0,rejeitado
023.770.814-01,2026-05-17T07:51:31.749524,5000.0,40000.0,rejeitado
023.770.814-01,2026-05-17T07:57:25.033816,5000.0,37000.0,aprovado
023.770.814-01,2026-05-17T07:59:16.832711,37000.0,38000.0,rejeitado
023.770.814-01,2026-05-17T08:01:14.590854,37000.0,38000.0,aprovado
023.770.814-01,2026-05-18T15:47:18.587976,5000.0,8000.0,aprovado
023.770.814-01,2026-05-18T15:47:41.715346,8000.0,50000.0,rejeitado
024.081.514-90,2026-05-18T15:51:00.392558,1000.0,25000.0,rejeitado
024.081.514-90,2026-05-18T15:56:34.389471,1000.0,15000.0,rejeitado
024.081.514-90,2026-05-18T15:58:47.137353,1000.0,15000.0,aprovado
023.770.814-01,2026-05-21T08:49:10.844119,5000.0,8000.0,aprovado
023.770.814-01,2026-05-21T08:49:28.675208,8000.0,40000.0,rejeitado
023.770.814-01,2026-05-21T08:49:56.367791,8000.0,35000.0,rejeitado
023.770.814-01,2026-05-21T09:04:06.902444,5000.0,35000.0,rejeitado
023.770.814-01,2026-05-21T09:11:49.279487,5000.0,8000.0,aprovado
023.770.814-01,2026-05-21T09:14:01.880673,8000.0,35000.0,rejeitado
023.770.814-01,2026-05-21T09:14:29.841027,8000.0,30000.0,rejeitado
023.770.814-01,2026-05-21T09:15:52.966922,8000.0,20000.0,aprovado
023.770.814-01,2026-05-21T09:16:20.206081,20000.0,25000.0,aprovado
023.770.814-01,2026-05-21T10:10:15.138266,5000.0,8000.0,aprovado
023.770.814-01,2026-05-21T13:34:28.731293,5000.0,8000.0,aprovado
023.770.814-01,2026-05-21T13:34:45.637237,8000.0,25000.0,rejeitado
023.770.814-01,2026-05-21T13:42:24.585580,5000.0,25000.0,rejeitado
023.770.814-01,2026-05-21T13:51:01.425692,5000.0,25000.0,rejeitado
023.770.814-01,2026-05-21T13:55:00.172662,5000.0,30000.0,rejeitado
023.770.814-01,2026-05-21T13:59:11.353284,5000.0,25000.0,rejeitado
023.770.814-01,2026-05-21T14:04:50.816246,5000.0,25000.0,rejeitado
023.770.814-01,2026-05-21T14:40:05.771667,5000.0,8000.0,aprovado
023.770.814-01,2026-05-21T14:40:16.930214,8000.0,25000.0,rejeitado
023.770.814-01,2026-05-21T14:41:48.370647,8000.0,30000.0,aprovado
023.770.814-01,2026-05-21T14:46:06.340082,5000.0,8000.0,aprovado
023.770.814-01,2026-05-21T15:04:00.022820,5000.0,25000.0,rejeitado
023.770.814-01,2026-05-21T15:04:34.548490,5000.0,8000.0,aprovado
023.770.814-01,2026-05-21T15:05:02.599080,8000.0,30000.0,rejeitado
023.770.814-01,2026-05-21T15:06:52.153849,8000.0,25000.0,aprovado
023.770.814-01,2026-05-21T15:09:10.796761,25000.0,30000.0,aprovado
023.770.814-01,2026-05-25T14:44:01.306115,5000.0,8000.0,aprovado
024.081.514-90,2026-05-25T14:49:46.134968,1000.0,15000.0,rejeitado
024.081.514-90,2026-05-25T14:57:38.227579,1000.0,15000.0,rejeitado
024.081.514-90,2026-05-25T14:58:23.365364,1000.0,10000.0,rejeitado
024.081.514-90,2026-05-25T15:00:20.753653,1000.0,60000.0,rejeitado
023.770.814-01,2026-05-26T10:19:57.763876,5000.0,8000.0,aprovado
023.770.814-01,2026-05-26T10:20:13.198791,8000.0,30000.0,rejeitado
023.770.814-01,2026-05-26T10:21:29.504857,8000.0,30000.0,aprovado
024.081.514-90,2026-05-26T11:02:39.888416,1000.0,7000.0,rejeitado
024.081.514-90,2026-05-26T11:03:10.147341,1000.0,2000.0,aprovado
024.081.514-90,2026-05-26T11:03:39.987850,2000.0,5000.0,rejeitado
024.081.514-90,2026-05-26T11:04:56.529424,2000.0,20000.0,aprovado
023.770.814-01,2026-05-26T11:49:13.858351,5000.0,10000.0,aprovado
023.770.814-01,2026-05-26T14:18:11.002568,5000.0,8000.0,aprovado
024.081.514-90,2026-05-26T14:20:41.832431,1000.0,10000.0,rejeitado
024.081.514-90,2026-05-26T14:21:54.559994,1000.0,10000.0,aprovado
023.770.814-01,2026-05-26T14:28:01.533885,5000.0,40000.0,rejeitado
023.770.814-01,2026-05-26T14:30:10.078809,5000.0,40000.0,aprovado
024.081.514-90,2026-05-26T14:32:57.999831,1000.0,1500.0,aprovado
024.081.514-90,2026-05-26T14:33:15.270782,1500.0,5000.0,rejeitado
